"Data_Inquerito","Sexo","Idade","Nacionalidade","Utiliza","Motivos","Funcionalidades","Plataformas","Facilidade_de_uso","Interface_do_Navegador","Utilizacao_do_Historico","Variedade_de_extensoes","Personalizacao_do_Navegador","Qualidade_da_loja_online","Primeira_utilizacao","facilidade_Instalacao","Pesquisa_de_extensoes","Resolucao_de_problemas","Frequencia_de_utilizacao_dia","Tempo_de_utilizacao","Razao_nao_utilizacao"
"2018/04/11 1:11:42 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Youtube","Baixa utilizacao de memoria","Desktop","4","5","4","4","4","5","5","4","4","3","3 - 4 horas","1 - 2 anos",""
"2018/04/11 1:12:59 da tarde CET","Masculino","10-17","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto;Trabalho","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop;Mobile","4","3","4","5","4","5","4","4","5","1","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:15:53 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Blogs;Noticias;Trabalho;Enciclopedias online","Rapidez de navegacao","Desktop","5","4","3","5","4","4","4","4","4","4","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:18:14 da tarde CET","Feminino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:18:52 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Trabalho;Enciclopedias online;Download de software","Rapidez de navegacao","Desktop","5","5","5","5","5","5","5","5","5","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:20:07 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop","5","5","5","4","3","3","4","5","3","3","Menos de 1 hora","3 - 4 anos",""
"2018/04/11 1:24:47 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopedias online;Forums de discussao online;Download de software","Baixa utilizacao de memoria;Personalizacao do navegador;Melhor protecao em navegacao anónima","Desktop","4","5","4","3","5","4","4","5","4","4","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:26:20 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Enciclopedias online","Baixa utilizacao de memoria;Personalizacao do navegador;Variedade de extensoes/temas","Desktop","5","5","5","5","5","5","4","4","4","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:26:52 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop","5","4","5","3","4","5","5","5","5","3","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:36:02 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Noticias;Trabalho","Melhor protecao em navegacao anónima;Variedade de extensoes/temas","Desktop;Mobile","4","4","4","4","4","4","3","3","3","3","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:41:21 da tarde CET","Feminino","41-50","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Noticias","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop","3","3","3","2","2","2","3","3","3","2","1 - 2 horas","Menos de 1 ano",""
"2018/04/11 1:58:12 da tarde CET","Feminino","26-40","Portugal","Nao","","","","","","","","","","","","","","","","Nao utilizo este tipo de programas."
"2018/04/11 2:04:24 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopedias online;Forums de discussao online;Download de software","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop","4","4","4","4","3","3","5","5","5","5","1 - 2 horas","3 - 4 anos",""
"2018/04/11 2:17:24 da tarde CET","Masculino","26-40","Portugal","Sim / Ja utilizei","Trabalho","Personalizacao do navegador","Mobile","3","3","4","3","3","3","3","4","3","3","1 - 2 horas","3 - 4 anos",""
"2018/04/11 2:30:45 da tarde CET","Feminino","41-50","Portugal","Sim / Ja utilizei","Redes sociais;Noticias;Trabalho","Rapidez de navegacao;Melhor protecao em navegacao anónima","Desktop","2","2","2","2","2","3","4","4","4","4","5 - 6 horas","Mais de 4 anos",""
"2018/04/11 2:38:27 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Enciclopedias online;Download de software","Rapidez de navegacao;Personalizacao do navegador;Melhor protecao em navegacao anónima","Desktop;Tablet","5","4","4","4","5","4","5","4","5","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 2:41:53 da tarde CET","Masculino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Youtube","Personalizacao do navegador","Desktop","5","5","5","4","5","3","5","5","5","3","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 2:41:56 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Trabalho","Rapidez de navegacao","Desktop","5","5","5","5","5","5","5","5","5","5","Menos de 1 hora","Mais de 4 anos",""
